Domain,Name,contact_email,mobile_number,position,linkedin_profile,visit_count,location,department,Seniority,Industry,Founded Year,contact_status,employee_count_range,industry,company_name,company_linkedin,last_visit_date,lead_id,lead_url,lead_score,time_spent_on_site,revenue
daintl.org,,,,,,2,United States,,,Nonprofit Organization Management,1996.0,No contact found,81,,development associates international (dai),https://www.linkedin.com/company/development-associates-international,2025-01-31T06:44:58.729Z,65ca8f88bb52090012beb840,https://admin.happierleads.com/reveal/65a616229410370011cf71e4?domain=daintl.org,3,22,5M
resourcifi.com,,,,,,3,United States,,,Information Technology & Services,2016.0,No contact found,62,Information Technology,resourcifi inc.,https://www.linkedin.com/company/resourcifi,2025-01-31T06:38:56.474Z,66570f94271fa800118763df,https://admin.happierleads.com/reveal/65a616229410370011cf71e4?domain=resourcifi.com,3,26,50M
tlxmobility.com,,,,,,3,United States,,,Information Technology & Services,1996.0,No contact found,740,,tlx mobility - a techlogix company,https://www.linkedin.com/company/tlx-mobility-a-techlogix-company,2025-01-31T06:59:31.999Z,67503f8f6be82f00110ad015,https://admin.happierleads.com/reveal/65a616229410370011cf71e4?domain=tlxmobility.com,3,45,1M
getnoor.com,,,,,,1,India,,,Professional Services,2006.0,No contact found,30,Industrials,noor,https://www.linkedin.com/company/getnoor,2025-01-31T06:32:50.979Z,679c6a3eb63e420011d1b85b,https://admin.happierleads.com/reveal/65a616229410370011cf71e4?domain=getnoor.com,2,20,10M
j.tq6fcfarwtef,,,,,,1,,,,,,No contact found,1 - 10,,j,https://www.linkedin.com/company/j,2025-01-31T06:01:00.576Z,679c6012005b6e0011c38bae,https://admin.happierleads.com/reveal/65a616229410370011cf71e4?domain=j.tq6fcfarwtef,2,41,5M
cannachat.biz,,,,,,8,USA,,,Software Development,,No contact found,,,cannachat,https://www.linkedin.com/linkedin.com/company/cannachat,2025-01-31T05:12:40.149Z,663e6563b8a3760011290109,https://admin.happierleads.com/reveal/65a616229410370011cf71e4?domain=cannachat.biz,4,14504,100K
broxtowe.gov.uk,,,,,,2,United Kingdom,,,Government Administration,1977.0,No contact found,210,,broxtowe borough council,https://www.linkedin.com/company/broxtowe-borough-council,2025-01-31T05:34:23.247Z,675f55c15d06900012d5fbd9,https://admin.happierleads.com/reveal/65a616229410370011cf71e4?domain=broxtowe.gov.uk,3,82,5M
diecsy.com,,,,,,3,,,,,,No contact found,1 - 10,,diecsy,https://www.linkedin.com/company/diecsy,2025-01-31T04:42:06.300Z,66e4ff3f43b7ba0011d36693,https://admin.happierleads.com/reveal/65a616229410370011cf71e4?domain=diecsy.com,3,41,5M
thedataduck.com,,,,,,1,Australia,,,Information Technology & Services,2008.0,No contact found,23,Information Technology,the data duck,https://www.linkedin.com/company/the-data-duck,2025-01-31T05:03:44.813Z,679c50942ba6380013aaf0a6,https://admin.happierleads.com/reveal/65a616229410370011cf71e4?domain=thedataduck.com,2,16,10M
k.fqhr5p,,,,,,2,,,,,,No contact found,1 - 10,,k,https://www.linkedin.com/company/k,2025-01-31T05:55:58.877Z,67974acd341d6200117f11fb,https://admin.happierleads.com/reveal/65a616229410370011cf71e4?domain=k.fqhr5p,3,73,5M
motocho.io,,,,,,1,United States,,,Investment Management,,No contact found,2,Financials,motocho,https://www.linkedin.com/company/motocho,2025-01-31T04:11:08.053Z,679c4d52dcafa300122a7c3c,https://admin.happierleads.com/reveal/65a616229410370011cf71e4?domain=motocho.io,2,10,10M
