last_visited_date,days_since_last_visit,total_score,Domain,Name,revenue_in_million,employee_count,contact_email,mobile_number,position,time_spent_on_site,linkedin_profile,visit_count,location,department,Seniority,Industry,Founded Year,contact_status,industry,company_name,company_linkedin,lead_id,lead_url,industry_score,location_score,role_score,number_of_visit_score,visit_duration_score,employee_count_score,contact_score,last_visit_score
2025-02-02,0,32,swissbutter.com,0,0.1,140,0,0.0,0,18,0,1,Lebanon,0,0,Restaurants,2017.0,No contact found,0,swiss butter,https://www.linkedin.com/company/swissbutter,679f95e45a5af5001112aa12,https://admin.happierleads.com/reveal/65a616229410370011cf71e4?domain=swissbutter.com,0,0,0,2,10,20,0,0
2025-02-02,0,17,0.v91y,0,5.0,10,0,0.0,0,19,0,1,0,0,0,0,0.0,No contact found,0,0,https://www.linkedin.com/company/0,679f85893d21fd0012633b33,https://admin.happierleads.com/reveal/65a616229410370011cf71e4?domain=0.v91y,0,0,0,2,10,5,0,0
2025-02-02,0,65,number90bar.co.uk,0,5.0,15,0,0.0,0,32,0,3,United Kingdom,0,0,Hospitality,2012.0,No contact found,0,number 90 uk,https://www.linkedin.com/company/number-90-uk,67890e7e27c5c600135d02d2,https://admin.happierleads.com/reveal/65a616229410370011cf71e4?domain=number90bar.co.uk,0,30,0,10,20,5,0,0
2025-02-02,0,27,kids-inc.co.uk,0,5.0,10,0,0.0,0,43,0,1,0,0,0,0,0.0,No contact found,0,kids-inc,https://www.linkedin.com/company/kids-inc,679f82a2957b0e001230e715,https://admin.happierleads.com/reveal/65a616229410370011cf71e4?domain=kids-inc.co.uk,0,0,0,2,20,5,0,0
2025-02-02,0,57,maria.io,0,1.0,30,0,0.0,0,38,0,1,Finland,0,0,Facilities Services,2016.0,No contact found,0,maria 01,https://www.linkedin.com/company/maria-io,679f7b88b699fc00111a5233,https://admin.happierleads.com/reveal/65a616229410370011cf71e4?domain=maria.io,0,30,0,2,20,5,0,0
2025-02-02,0,47,distract.dk,0,10.0,20,0,0.0,0,17,0,1,Denmark,0,0,Professional Services,2017.0,No contact found,Industrials,distract,https://www.linkedin.com/company/distractdk,679f768e01d82800129cff9a,https://admin.happierleads.com/reveal/65a616229410370011cf71e4?domain=distract.dk,0,30,0,2,10,5,0,0
2025-02-02,0,47,yeah.com,0,10.0,1,0,0.0,0,17,0,1,France,0,0,Information Technology & Services,0.0,No contact found,Information Technology,bluejay,https://www.linkedin.com/company/blujay,679f711260a0ae0011967e4a,https://admin.happierleads.com/reveal/65a616229410370011cf71e4?domain=yeah.com,0,30,0,2,10,5,0,0
2025-02-02,0,65,youthfluence.in,0,5.0,5,0,0.0,0,45,0,4,India,0,0,Marketing & Advertising,2023.0,No contact found,0,youthfluence,https://www.linkedin.com/company/youthfluence-in,670e1f6ad0ce740012843baf,https://admin.happierleads.com/reveal/65a616229410370011cf71e4?domain=youthfluence.in,0,20,0,20,20,5,0,0
2025-02-02,0,25,idcapital.me,0,5.0,10,0,0.0,0,24,0,2,0,0,0,0,0.0,No contact found,0,idcapital,https://www.linkedin.com/company/middlesex-county-technical,6763d6858d93a800114c617e,https://admin.happierleads.com/reveal/65a616229410370011cf71e4?domain=idcapital.me,0,0,0,10,10,5,0,0
2025-02-02,0,12,hugododsworth.com,0,5.0,10,0,0.0,0,8,0,1,0,0,0,0,0.0,No contact found,0,hugododsworth,https://www.linkedin.com/company/hugododsworth,679f5b745ae59a001159db6d,https://admin.happierleads.com/reveal/65a616229410370011cf71e4?domain=hugododsworth.com,0,0,0,2,5,5,0,0
